arise arose arisen
bear bore born
beat beat beaten
become became become
befall befell befallen
begin began begun
bend bent bent
beset beset beset
bet bet bet
bid bid bid
bind bound bound
bite bit bitten
bleed bled bled
blow blew blown
break broke broken
breed bred bred
bring brought brought
broadcast broadcast broadcast
build built built
burst burst burst
buy bought bought
cast cast cast
catch caught caught
choose chose chosen
cling clung clung
come came come
cost cost cost
creep crept crept
crossbreed crossbred crossbred
cut cut cut
deal dealt dealt
dig dug dug
disprove disproved disproven
do did done
draw drew drawn
drink drank drunk
drive drove driven
dwell dwelt dwelt
eat ate eaten
fall fell fallen
feed fed fed
feel felt felt
fight fought fought
find found found
fit fit fit
flee fled fled
fling flung flung
fly flew flown
forbid forbade forbidden
forecast forecast forecast
foresee foresaw foreseen
foretell foretold foretold
forget forgot forgotten
forgive forgave forgiven
fraught fraught fraught
freeze froze frozen
frostbite frostbit frostbitten
get got gotten
give gave given
go went gone
grind ground ground
grow grew grown
handwrite handwrote handwritten
hang hung hung
have had had
hear heard heard
hide hid hidden
hit hit hit
hold held held
hurt hurt hurt
inlay inlaid inlaid
input input input
inset inset inset
interset interset interset
interwind interwound interwound
inweave inwove inwoven
keep kept kept
know knew known
landslide landslid landslid
lay laid laid
lead led led
leave left left
lend lent lent
let let let
lie lay lain
light lit lit
lose lost lost
make made made
mean meant meant
meet met met
misbecome misbecame misbecome
miscast miscast miscast
miscut miscut miscut
misdo misdid misdone
mishear misheard misheard
mishit mishit mishit
mislead misled misled
misread misread misread
misspeak misspoke misspoken
misspend misspent misspent
mistake mistook mistaken
misteach mistaught mistaught
misunderstand misunderstood misunderstood
miswrite miswrote miswritten
offset offset offset
outbid outbid outbid
outdrink outdrank outdrunk
outdrive outdrove outdriven
outfight outfought outfought
outfly outflew outflown
outgrow outgrew outgrown
outlay outlaid outlaid
output output output
outrun outran outrun
overbid overbid overbid
overbreed overbred overbred
overbuild overbuilt overbuilt
overcome overcame overcome
overdo overdid overdone
overdraw overdrew overdrawn
overfeed overfed overfed
overhear overheard overheard
overlay overlaid overlaid
overlie overlay overlain
overpay overpaid overpaid
override overrode overridden
overrun overran overrun
oversee oversaw overseen
overset overset overset
oversleep overslept overslept
overshoot overshot overshot
overspend overspent overspent
overtake overtook overtaken
overthrow overthrew overthrown
overwrite overwrote overwritten
partake partook partaken
pay paid paid
prebuild prebuilt prebuilt
predo predid predone
premake premade premade
prepay prepaid prepaid
presell presold presold
preset preset preset
presplit presplit presplit
proofread proofread proofread
prove proved proven
put put put
quit quit quit
read read read
reawake reawoke reawaken
rebid rebid rebid
rebind rebound rebound
rebroadcast rebroadcast rebroadcast
rebuild rebuilt rebuilt
recast recast recast
redo redid redone
redraw redrew redrawn
refit refit refit
regrow regrew regrown
rehang rehung rehung
rehear reheard reheard
relay relaid relaid
relay relayed relayed
remake remade remade
rend rent rent
repay repaid repaid
reread reread reread
rerun reran rerun
resell resold resold
resend resent resent
reset reset reset
retake retook retaken
retell retold retold
rethink rethought rethought
retread retread retread
rewind rewound rewound
rewrite rewrote rewritten
rid rid rid
ride rode ridden
ring rang rung
rise rose risen
run ran run
say said said
see saw seen
seek sought sought
sell sold sold
send sent sent
set set set
shake shook shaken
shed shed shed
shoot shot shot
show showed shown
shrink shrank shrunk
shut shut shut
sing sang sung
sink sank sunk
sit sat sat
sleep slept slept
slide slid slid
slit slit slit
speak spoke spoken
spend spent spent
spin spun spun
split split split
spread spread spread
spring sprang sprung
stand stood stood
steal stole stolen
stick stuck stuck
sting stung stung
stink stunk stunk
strew strewed strewn
stride strode stridden
strike struck struck
string strung strung
strive strove striven
sublet sublet sublet
swear swore sworn
sweat sweat sweat
sweep swept swept
swell swelled swollen
swim swam swum
swing swung swung
take took taken
teach taught taught
tear tore torn
telecast telecast telecast
tell told told
think thought thought
throw threw thrown
thrust thrust thrust
tread trod trodden
troubleshoot troubleshot troubleshot
typecast typecast typecast
typeset typeset typeset
typewrite typewrote typewritten
unbear unbore unborn
unbend unbent unbent
unbind unbound unbound
underbid underbid underbid
undercut undercut undercut
undergo underwent undergone
underlay underlaid underlaid
underlie underlay underlain
undershoot undershot undershot
understand understood understood
undertake undertook undertaken
undo undid undone
unhide unhid unhidden
unwind unwound unwound
uphold upheld upheld
upset upset upset
wake woke woken
wear wore worn
weave wove woven
weep wept wept
wet wet wet
win won won
wind wound wound
withdraw withdrew withdrawn
withhold withheld withheld
withstand withstood withstood
write wrote written
